UI_ID,AgeCat,Breeder,Disperser,Coat
UI1467,A,FALSE,FALSE,Gray
UI1469,A,TRUE,TRUE,Gray
UI1470,A,FALSE,FALSE,Gray
UI1471,A,FALSE,FALSE,Unknown
UI1472,Y,FALSE,FALSE,Unknown
UI1473,A,TRUE,FALSE,Unknown
UI1474,A,FALSE,FALSE,Black
UI1477,A,FALSE,FALSE,Gray
UI1479,Y,FALSE,FALSE,Gray
UI1481,A,FALSE,FALSE,Gray
UI1484,A,FALSE,FALSE,Gray
UI1485,A,FALSE,FALSE,Unknown
UI1486,A,FALSE,FALSE,Unknown
UI1487,Y/A,FALSE,FALSE,Unknown
UI1490,Y,FALSE,FALSE,Gray
UI1493,Y,FALSE,FALSE,Gray
UI1494,A,FALSE,FALSE,Gray
UI1496,Y/A,FALSE,FALSE,Gray
UI1497,A,TRUE,FALSE,Gray
UI1505,A,TRUE,FALSE,Gray
UI1516,Y,FALSE,FALSE,Gray
UI1517,Y/A,FALSE,FALSE,Gray
UI1518,Y/A,FALSE,FALSE,Gray
UI1519,Y,FALSE,FALSE,Gray
UI1520,A,FALSE,FALSE,Unknown
UI1521,A,FALSE,FALSE,Gray
UI1526,Y,FALSE,FALSE,Gray
UI1535,A,FALSE,FALSE,Unknown
UI1538,A,TRUE,FALSE,Gray
UI1539,A,FALSE,FALSE,Unknown
UI1541,Y/A,FALSE,FALSE,Black
UI1543,Y,FALSE,FALSE,Black
UI1544,Y,FALSE,FALSE,Gray
UI1546,Y,FALSE,FALSE,Gray
UI1549,Y,FALSE,FALSE,Gray
UI1551,Y/A,FALSE,FALSE,Gray
UI1552,A,FALSE,FALSE,Gray
UI1554,Y/A,FALSE,FALSE,Black
UI1555,A,FALSE,FALSE,Gray
UI1556,A,FALSE,FALSE,Gray
UI1558,Y,FALSE,FALSE,Gray
UI1560,Y,FALSE,FALSE,Gray
UI1562,A,FALSE,FALSE,Unknown
UI1566,Y,FALSE,FALSE,Gray
UI1567,A,TRUE,FALSE,Black
UI1568,A,FALSE,FALSE,Gray
UI1570,Y,FALSE,FALSE,Gray
UI1571,A,FALSE,FALSE,Black
UI1572,A,FALSE,FALSE,Gray
UI1573,A,TRUE,FALSE,Gray
UI1575,Y/A,FALSE,FALSE,Gray
UI1576,Y,FALSE,FALSE,Gray
UI1578,Y/A,FALSE,FALSE,Gray
UI1580,Y,FALSE,FALSE,Unknown
UI1581,Y,FALSE,FALSE,Brown
UI1584,Y,FALSE,FALSE,Gray
UI1585,Y,FALSE,FALSE,Gray
UI1586,A,FALSE,FALSE,Gray
UI1588,A,FALSE,FALSE,Gray
UI1600,A,FALSE,FALSE,Unknown
UI1601,Y,FALSE,FALSE,Unknown
UI1602,A,FALSE,FALSE,Unknown
UI1607,Y/A,FALSE,FALSE,Unknown
UI1608,A,FALSE,FALSE,Unknown
UI1609,Y,FALSE,FALSE,Unknown
UI1610,A,FALSE,FALSE,Unknown
UI1613,Y,FALSE,FALSE,Unknown
UI1614,A,FALSE,FALSE,Unknown
UI1621,A,FALSE,FALSE,Unknown
UI1622,Y,FALSE,FALSE,Unknown
UI1623,A,FALSE,FALSE,Unknown
UI1624,Y,FALSE,FALSE,Unknown
UI1629,Y,FALSE,FALSE,Gray
UI1631,Y,FALSE,FALSE,Black
UI1632,A,FALSE,FALSE,Gray
UI1640,A,FALSE,FALSE,Gray
UI1641,Y/A,FALSE,FALSE,Unknown
UI1645,Y,FALSE,FALSE,Gray
UI1647,Y,FALSE,FALSE,Unknown
UI1649,Y/A,FALSE,FALSE,Black
UI1650,Y,FALSE,FALSE,Gray
UI1655,A,FALSE,FALSE,White
UI1658,Y/A,FALSE,FALSE,Black
UI1661,A,FALSE,FALSE,Gray
UI1662,A,FALSE,FALSE,Black
UI1664,Y,FALSE,FALSE,Gray
UI1669,A,FALSE,FALSE,Gray
UI1671,A,FALSE,FALSE,Gray
UI1672,A,FALSE,FALSE,Gray
UI1673,Y,FALSE,FALSE,Gray
UI1675,A,FALSE,FALSE,Tan
UI1678,Y/A,FALSE,FALSE,Black
UI1679,Y,FALSE,FALSE,Unknown
UI1680,Y,FALSE,FALSE,Black
UI1681,A,FALSE,FALSE,Unknown
UI1687,Y,FALSE,FALSE,Unknown
UI1699,A,FALSE,FALSE,Gray
UI1700,A,TRUE,FALSE,Unknown
UI1702,Y,FALSE,FALSE,Unknown
UI1705,A,FALSE,FALSE,Unknown
UI1708,Y/A,FALSE,FALSE,Black
UI1710,A,TRUE,FALSE,Unknown
UI1711,A,FALSE,FALSE,Black
UI1712,Y,FALSE,FALSE,Unknown
UI1713,Y,FALSE,FALSE,Gray
UI1715,A,FALSE,FALSE,Black
UI1718,A,FALSE,FALSE,Gray
UI1720,Y,FALSE,FALSE,Unknown
UI1721,A,FALSE,FALSE,Gray
UI1725,A,FALSE,FALSE,Gray
UI1729,A,FALSE,FALSE,Gray
UI1731,A,TRUE,FALSE,Unknown
UI1734,A,FALSE,FALSE,Black
UI1737,A,FALSE,FALSE,Unknown
UI1740,A,TRUE,FALSE,Unknown
UI1742,A,FALSE,FALSE,Unknown
UI1743,Y,FALSE,FALSE,Gray
UI1747,A,FALSE,FALSE,White
UI1748,A,FALSE,FALSE,Black
UI1749,A,FALSE,FALSE,Black
UI1753,A,FALSE,FALSE,Gray
UI1755,A,FALSE,TRUE,Gray
UI1762,A,FALSE,FALSE,Gray
UI1763,Y/A,FALSE,FALSE,Gray
UI1765,A,FALSE,FALSE,Gray
UI1766,A,FALSE,FALSE,Gray
